Tamanho,MediaComparacoes
1,2.00
101,7458.10
201,16983.90
301,27276.70
401,38711.70
501,50087.80
601,61563.60
701,73300.70
801,86005.30
901,98196.00
1001,110944.50
1101,124144.70
1201,136996.30
1301,149515.40
1401,162892.40
1501,176096.20
1601,189107.50
1701,202635.70
1801,216951.90
1901,230399.50
2001,244155.80
2101,257157.40
2201,272095.30
2301,285660.10
2401,300226.40
2501,314501.70
2601,328398.60
2701,342353.30
2801,357188.10
2901,371824.50
3001,385733.90
3101,400956.80
3201,414149.50
3301,429212.60
3401,444819.70
3501,457784.00
3601,474201.40
3701,488436.90
3801,503754.70
3901,517800.60
4001,533052.50
4101,547417.80
4201,562440.50
4301,577892.00
4401,592829.70
4501,607120.30
4601,623118.60
4701,637881.40
4801,654655.10
4901,669040.80
5001,684692.10
5101,699053.20
5201,715826.20
5301,729969.00
5401,746374.00
5501,761018.40
5601,775948.00
5701,793588.50
5801,808275.30
5901,822838.30
6001,838553.90
6101,853214.80
6201,871188.50
6301,885240.90
6401,901602.30
6501,917784.90
6601,932826.80
6701,949683.70
6801,964526.10
6901,980288.30
7001,995986.90
7101,1012585.30
7201,1027598.20
7301,1042102.60
7401,1060276.70
7501,1077801.10
7601,1091539.80
7701,1106684.80
7801,1123539.10
7901,1139598.40
8001,1157527.40
8101,1171454.00
8201,1187370.80
8301,1205843.20
8401,1218383.90
8501,1236192.00
8601,1253040.90
8701,1268107.60
8801,1283739.90
8901,1302995.10
9001,1317675.10
9101,1334760.20
9201,1350186.10
9301,1367048.10
9401,1382969.10
9501,1399371.40
9601,1414908.30
9701,1429417.30
9801,1448720.80
9901,1465043.70
