Tamanho,MediaComparacoes
1,0.00
101,0.00
201,0.00
301,0.00
401,0.00
501,0.00
601,0.00
701,0.00
801,0.00
901,0.00
1001,0.00
1101,0.00
1201,0.00
1301,0.00
1401,0.00
1501,0.00
1601,0.00
1701,0.00
1801,0.00
1901,0.00
2001,0.00
2101,0.00
2201,0.00
2301,0.00
2401,0.00
2501,0.00
2601,0.00
2701,0.00
2801,0.00
2901,0.00
3001,0.00
3101,0.00
3201,0.00
3301,0.00
3401,0.00
3501,0.00
3601,0.00
3701,0.00
3801,0.00
3901,0.00
4001,0.00
4101,0.00
4201,0.00
4301,0.00
4401,0.00
4501,0.00
4601,0.00
4701,0.00
4801,0.00
4901,0.00
5001,0.00
5101,0.00
5201,0.00
5301,0.00
5401,0.00
5501,0.00
5601,0.00
5701,0.00
5801,0.00
5901,0.00
6001,0.00
6101,0.00
6201,0.00
6301,0.00
6401,0.00
6501,0.00
6601,0.00
6701,0.00
6801,0.00
6901,0.00
7001,0.00
7101,0.00
7201,0.00
7301,0.00
7401,0.00
7501,0.00
7601,0.00
7701,0.00
7801,0.00
7901,0.00
8001,0.00
8101,0.00
8201,0.00
8301,0.00
8401,0.00
8501,0.00
8601,0.00
8701,0.00
8801,0.00
8901,0.00
9001,0.00
9101,0.00
9201,0.00
9301,0.00
9401,0.00
9501,0.00
9601,0.00
9701,0.00
9801,0.00
9901,0.00
